更新时间: 2026-09-06 11:55:06（北京时间）仅供娱乐，切勿商用。

更新时间,#genre#
2026-09-06 11:55:06,http://kakaxi.indevs.in/Disclaimer.mp4

央视频道,#genre#
CCTV11,http://gslbmgsplive.miguvideo.com/migu/kailu/cctv11hd/51/20200103/index.m3u8?msisdn=aeba550a8fb3054e87d14a4c2783c7eb&mdspid=&spid=699004&netType=0&sid=5500988610&pid=2028597139&timestamp=20260906112046&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=667987558&ParentNodeID=-99&assertID=5500988610&client_ip=39.103.182.111&SecurityKey=20260906112046&promotionId=&mvid=5102751362&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=03162488ed61c866e8719ca8dc6cc17a&ddCalcu=a073v11ac6zc2a64c8d88eadc6911c7886e6&sv=10004&ct=android
CCTV11,https://itv.1920.qzz.io/api/ysp.php?id=cctv11
CCTV12,http://gslbmgsplive.miguvideo.com/migu/kailu/20200324/cctv12hd/51/index.m3u8?msisdn=ce6fa2903970d3dad2f8ac2ea26b9f9d&mdspid=&spid=699004&netType=0&sid=5501083627&pid=2028597139&timestamp=20260906112046&Channel_ID=0116_2600034600-99000-201600010010028&ProgramID=673168185&ParentNodeID=-99&assertID=5501083627&client_ip=39.103.188.159&SecurityKey=20260906112046&promotionId=&mvid=5102910389&mcid=500020&playurlVersion=WX-A1-9.8.2-SNAPSHOT&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&puData=a51b87c975d802f64b795e86ae846185&ddCalcu=5a85v11a6bd48a87eca96785ed589072bf46&sv=10004&ct=android
CCTV12,http://27.12.12.92:1234/673168185
CCTV12,http://60.168.105.200:5008/673168185
CCTV12,http://117.63.79.167:1234/673168185
CCTV12,http://110.154.192.90:7788/673168185
CCTV12,http://116.52.173.236:1234/673168185
CCTV12,https://itv.1920.qzz.io/api/ysp.php?id=cctv12
CCTV13,http://117.63.79.167:1234/608807423
CCTV13,http://60.168.105.200:5008/608807423
CCTV13,http://116.52.173.236:1234/608807423
CCTV13,http://27.12.12.92:1234/608807423
CCTV13,http://110.154.192.90:7788/608807423
